3.660000000000000142e+01 2.260000000000000142e+01 3.339999999999999858e+01 2.530000000000000071e+01 3.460000000000000142e+01 5.129999999999999716e+01 6.570000000000000284e+01 6.550000000000000000e+01 4.750000000000000000e+01 5.489999999999999858e+01 5.000000000000000000e+01 4.000000000000000000e+01
3.710000000000000142e+01 3.130000000000000071e+01 2.889999999999999858e+01 2.560000000000000142e+01 3.470000000000000284e+01 4.450000000000000000e+01 6.370000000000000284e+01 5.450000000000000000e+01 5.260000000000000142e+01 5.550000000000000000e+01 4.139999999999999858e+01 4.239999999999999858e+01
3.589999999999999858e+01 2.680000000000000071e+01 3.210000000000000142e+01 3.060000000000000142e+01 3.110000000000000142e+01 5.410000000000000142e+01 6.470000000000000284e+01 6.089999999999999858e+01 5.650000000000000000e+01 5.800000000000000000e+01 4.079999999999999716e+01 4.310000000000000142e+01
3.760000000000000142e+01 2.289999999999999858e+01 2.419999999999999929e+01 2.910000000000000142e+01 3.610000000000000142e+01 4.810000000000000142e+01 6.170000000000000284e+01 6.590000000000000568e+01 5.639999999999999858e+01 4.160000000000000142e+01 5.060000000000000142e+01 4.000000000000000000e+01
2.750000000000000000e+01 2.580000000000000071e+01 2.810000000000000142e+01 2.850000000000000000e+01 4.010000000000000142e+01 5.539999999999999858e+01 6.210000000000000142e+01 5.960000000000000142e+01 5.779999999999999716e+01 4.800000000000000000e+01 3.929999999999999716e+01 3.770000000000000284e+01
4.089999999999999858e+01 3.030000000000000071e+01 3.429999999999999716e+01 2.969999999999999929e+01 3.260000000000000142e+01 5.489999999999999858e+01 6.440000000000000568e+01 5.989999999999999858e+01 5.660000000000000142e+01 5.010000000000000142e+01 4.639999999999999858e+01 4.029999999999999716e+01
3.510000000000000142e+01 3.570000000000000284e+01 4.050000000000000000e+01 2.689999999999999858e+01 3.370000000000000284e+01 5.800000000000000000e+01 6.160000000000000142e+01 5.910000000000000142e+01 5.800000000000000000e+01 4.760000000000000142e+01 3.750000000000000000e+01 4.039999999999999858e+01
3.220000000000000284e+01 2.910000000000000142e+01 2.900000000000000000e+01 3.250000000000000000e+01 3.710000000000000142e+01 6.029999999999999716e+01 6.179999999999999716e+01 6.720000000000000284e+01 5.350000000000000000e+01 4.739999999999999858e+01 4.710000000000000142e+01 4.279999999999999716e+01
3.910000000000000142e+01 2.989999999999999858e+01 3.539999999999999858e+01 3.420000000000000284e+01 4.439999999999999858e+01 5.129999999999999716e+01 6.590000000000000568e+01 6.360000000000000142e+01 5.120000000000000284e+01 4.870000000000000284e+01 3.850000000000000000e+01 3.950000000000000000e+01
3.639999999999999858e+01 2.369999999999999929e+01 3.279999999999999716e+01 3.139999999999999858e+01 3.350000000000000000e+01 5.579999999999999716e+01 6.420000000000000284e+01 6.520000000000000284e+01 4.870000000000000284e+01 4.820000000000000284e+01 4.920000000000000284e+01 4.429999999999999716e+01
